f_khz,n,mean,sigma,se
0.5,5,3479.4656956,2.518380486184486,1.259190243092243
0.6,5,14596.182544,7.717980955919075,3.8589904779595376
0.75,5,79358.290938,30.62205950413779,15.311029752068896
0.85,5,187081.86504,161.969318926369,80.9846594631845
1.0,5,446925.5114,239.06917430283823,119.53458715141912
1.2,5,749498.98228,414.8024426869618,207.4012213434809
1.5,5,899783.0440199999,516.3378031227544,258.1689015613772
2.0,5,923522.2394200001,655.4272723605867,327.71363618029335
5.0,5,905582.5069800001,988.376092893949,494.1880464469745
10.0,5,903422.8844799999,475.70889140824767,237.85444570412383
20.0,5,903699.4409800001,447.5847380628685,223.79236903143425
30.0,5,891243.1833200001,732.5245716435948,366.2622858217974
40.0,5,777318.1831799999,341.81339743388776,170.90669871694388
45.0,5,634841.98894,349.8689571466185,174.93447857330926
50.0,5,453149.98548,249.98785995538069,124.99392997769034
55.0,5,287654.59548,259.5424791520263,129.77123957601316
60.0,5,170086.71876000002,93.46266087921684,46.73133043960842
70.0,5,56637.064796,31.89672369636549,15.948361848182746
80.0,5,20037.683568,17.321912755517843,8.660956377758922
