f_khz,n,gain_mean,gain_sigma,gain_se,gain2_mean,gain2_se
0.5,5,58.986992897201375,0.021348439117184613,0.010674219558592307,3479.4653310544854,1.2592802265717047
0.6,5,120.81465858054153,0.03194275292527732,0.01597137646263866,14596.181727932817,3.8591527887899733
0.75,5,281.70603219527686,0.05434785232277205,0.027173926161386024,79358.28857520636,15.310117836182975
0.85,5,432.5295793327094,0.18723840272337916,0.09361920136168958,187081.83699773054,80.98614756487162
1.0,5,668.524858024608,0.17880865241163027,0.08940432620581514,446925.48579682223,119.5380289670566
1.2,5,865.7360662313138,0.239558425110517,0.1197792125552585,749498.9363736697,207.39436858774778
1.5,5,948.5689140866729,0.27217870421038703,0.13608935210519352,899782.9847715697,258.18025789036454
2.0,5,961.0005964443683,0.34102342079261766,0.17051171039630883,923522.1463664316,327.72371078320435
5.0,5,951.6208757355492,0.5194148296709321,0.25970741483546605,905582.2911356937,494.2859950814836
10.0,5,950.4855782171757,0.2502040913668771,0.12510204568343855,903422.8343988387,237.81538045514924
20.0,5,950.6310517881029,0.23537545847814256,0.11768772923907128,903699.3966237549,223.75521965818362
30.0,5,944.0567053401822,0.3879872168011807,0.19399360840059035,891243.0628977597,366.28193360742966
40.0,5,881.6564825131187,0.1938195219650875,0.09690976098254375,777318.1531574052,170.8822379781132
45.0,5,796.7696971967689,0.21956567533265892,0.10978283766632946,634841.9503710308,174.9432766496067
50.0,5,673.1641388967103,0.1856905639490435,0.09284528197452176,453149.95789654943,125.00022858200238
55.0,5,536.3343627178298,0.24200077204540885,0.12100038602270442,287654.5486319406,129.79332985219716
60.0,5,412.4156986319531,0.11331685444142046,0.05665842722071023,170086.70847808194,46.73364969123376
70.0,5,237.9854222479666,0.06701060100823163,0.03350530050411581,56637.06120254295,15.94754617603402
80.0,5,141.55451449350565,0.06118023228076895,0.030590116140384475,20037.6805734921,8.66033807710415
