f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand,C_pF,R_kohm
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.9994899692431135,3474.2102883514476,73,98.5
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.999265720492342,14578.930650401,73,98.5
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.9988531619503535,79239.66120618659,73,98.5
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.9986953592971114,125069.72398969303,73,98.5
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.9985274306078363,187044.07718774828,73,98.5
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.9982753383160154,298899.97849168925,73,98.5
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.9979629937799265,444536.35845109355,73,98.5
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.9970693377450809,746906.9505162541,73,98.5
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.9954283765366231,896736.9700505092,73,98.5
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.9919014654156714,917592.0673137114,73,98.5
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.9795264089569181,895394.3824762412,73,98.5
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.9514484403921346,862904.2204011076,73,98.5
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.8304844888942625,751420.5612962939,73,98.5
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.5505196363204466,499185.9717164992,73,98.5
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.439419911623003,397671.98878308875,73,98.5
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.35247909599746874,315286.4055324687,73,98.5
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.3102865238135611,272862.53824492334,73,98.5
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.28567951419868587,246198.8482211505,73,98.5
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.2533286794866603,207809.54752573004,73,98.5
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.23441918063057093,182638.05769986226,73,98.5
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.1948042864308658,123861.26981028788,73,98.5
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.1638562530967328,74401.14337927144,73,98.5
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.13938212051244678,40151.06289996312,73,98.5
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.11978643464729634,20433.08807623587,73,98.5
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.10390778199793914,10219.01418889825,73,98.5
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.09089501034946021,5163.89661394357,73,98.5
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.07110630678900033,1430.156273872812,73,98.5
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.05703390907793378,447.16304690597275,73,98.5
