f_khz,gain2_mean,gain2_std,n,gain2_sem,f_hz,weight,weighted_integrand,C_pF,R_kohm
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688,500.0,0.9501278064470345,3302.628242389261,73,999
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688,600.0,0.929726114915145,13564.372594044695,73,999
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285,750.0,0.89437241378607,70951.13652359844,73,999
0.8,125233.1082,88.19826449216659,3,50.921291746610194,800.0,0.8815431974185781,110398.39462529475,73,999
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927,850.0,0.868284645259733,162647.0092163972,73,999
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318,920.0,0.8491054021242233,254236.0576193709,73,999
1.0,445443.7301,446.3990562357669,3,257.72861528371493,1000.0,0.826473645589275,368147.5035206321,73,999
1.2,749102.3164,391.65460176874547,3,226.12188976054088,1200.0,0.7678472802996558,575196.1763139123,73,999
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772,1500.0,0.6791587238248228,611823.7640612763,73,999
2.0,925083.8912,563.8694977396826,3,325.55020630782485,2000.0,0.5435255986180063,502806.7757363546,73,999
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656,3200.0,0.31746135016416205,290194.43170808454,73,999
5.0,906937.4479666665,523.576904347729,3,302.2872666666323,5000.0,0.16002564454526844,145133.24967310668,73,999
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612,10000.0,0.04546282447887772,41134.66481898696,73,999
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366,20000.0,0.011766924331369392,10669.707616115033,73,999
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195,25000.0,0.007562868584928514,6844.343898676042,73,999
30.0,894482.5639666667,898.899663039079,3,518.9799624300762,30000.0,0.005264156889378493,4708.696551534067,73,999
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231,33000.0,0.004354521235372173,3829.3178270255926,73,999
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093,35000.0,0.003872952853600622,3337.7140620175323,73,999
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547,38000.0,0.0032875038987440768,2696.7917689834812,73,999
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678,40000.0,0.002967923582000362,2312.335522033958,73,999
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629,45000.0,0.002346487661495498,1491.9535225429977,73,999
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723,50000.0,0.0019015027578356712,863.4029928555271,73,999
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264,55000.0,0.001572008665608595,452.8401388935778,73,999
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736,60000.0,0.001321255695297898,225.3788926328943,73,999
65.0,98346.9572,101.08246194478194,3,58.35998661416996,65000.0,0.0011260237529900252,110.7410098414934,73,999
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318,70000.0,0.0009710588622939572,55.16746795738101,73,999
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177,80000.0,0.0007436361870320313,14.956703651035838,73,999
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596,90000.0,0.0005876561112345352,4.607401131728106,73,999
