f (khz),gain2_mean,gain2_std,n,gain2_sem
0.5,3475.983146666667,1.8612990260611075,3,1.0746214937387688
0.6,14589.643526666667,9.133704352590684,3,5.273346666666688
0.75,79330.64060333333,44.327666311212226,3,25.592590077326285
0.8,125233.1082,88.19826449216659,3,50.921291746610194
0.85,187319.91876666667,113.17020481169861,3,65.33884821227927
0.92,299416.37043333333,306.06982930917184,3,176.70949834247318
1.0,445443.7301,446.3990562357669,3,257.72861528371493
1.2,749102.3164,391.65460176874547,3,226.12188976054088
1.5,900855.3414666667,549.0581585579232,3,316.9988756441772
2.0,925083.8912,563.8694977396826,3,325.55020630782485
3.2,914109.4862666667,527.5415109112404,3,304.57623333330656
5.0,906937.4479666665,523.576904347729,3,302.2872666666323
10.0,904797.8274666667,522.6029721786831,3,301.7249666666612
20.0,906754.1623999999,553.6568391682624,3,319.65392513247366
25.0,904993.1017333334,523.7637348948743,3,302.3951333333195
30.0,894482.5639666667,898.899663039079,3,518.9799624300762
33.0,879388.9431333333,509.9677770075137,3,294.4300333333231
35.0,861800.8502000001,500.0193390490901,3,288.68630000001093
38.0,820315.9150666666,504.53526652618876,3,291.2935719445547
40.0,779108.8476999999,2519.367087729946,3,1454.5572662883678
45.0,635824.1498666666,639.3405606136947,3,369.1234447741629
50.0,454063.4975666666,263.9795541805056,3,152.4086666666723
55.0,288064.6581666667,136.47342154575796,3,78.79296666667264
60.0,170579.31590000002,99.47046544311075,3,57.42929999999736
65.0,98346.9572,101.08246194478194,3,58.35998661416996
70.0,56811.66209333334,58.770817510606754,3,33.93134731024318
80.0,20112.931446666666,20.45036698206484,3,11.80702488212177
90.0,7840.301570333333,12.22037501985523,3,7.055436807311596
