f (khz),Vi (mV) (pre),Vo (mV) (post),gain^2
0.5,2.000,117.30,3439.8225
0.5,1.999,117.29,3442.677842
0.5,2.000,117.28,3438.6496
0.6,1.998,240.09,14439.66692
0.6,1.997,240.07,14451.72388
0.6,1.998,240.05,14434.8559
0.75,1.998,559.50,78416.81772
0.75,1.997,559.47,78486.95449
0.75,1.996,559.61,78604.94338
0.8,1.996,703.26,124139.7192
0.8,1.995,703.32,124285.4058
0.8,1.994,703.31,124406.5587
0.85,1.994,860.04,186031.7164
0.85,1.996,860.04,185659.0941
0.85,1.995,860.01,185832.3001
0.92,1.994,1087.73,297571.8914
0.92,1.993,1087.67,297837.7228
0.92,1.994,1087.62,297511.7087
1,1.992,1333.60,448200.6742
1,1.993,1333.60,447751.0121
1,1.991,1333.60,448651.0139
1.2,1.991,1732.80,757450.6777
1.2,1.992,1732.80,756690.376
1.2,1.991,1732.90,757538.1053
1.5,1.990,1902.30,913801.4924
1.5,1.989,1902.20,914624.4111
1.5,1.991,1902.20,912787.8164
2,1.989,1927.40,939018.4881
2,1.990,1927.50,938172.3315
2,1.988,1927.40,939963.4123
3.2,1.987,1915.10,928938.9613
3.2,1.988,1915.10,928004.6501
3.2,1.987,1915.10,928938.9613
5,1.987,1907.60,921677.3041
5,1.986,1907.60,922605.7123
5,1.987,1907.60,921677.3041
7,2.005,1905.10,902831.7013
7,2.006,1905.20,902026.4829
7,2.005,1905.10,902831.7013
10,2.005,1904.20,901978.8782
10,2.004,1904.10,902784.4535
10,2.003,1904.10,903686.1109
13,2.003,1904.00,903591.1933
13,2.002,1904.00,904494.1073
13,2.003,1904.00,903591.1933
17,2.000,1904.10,906399.2025
17,2.001,1904.10,905493.4826
17,1.999,1904.10,907306.282
20,1.999,1903.80,907020.4036
20,1.998,1903.80,907928.5592
20,1.999,1903.70,906925.1209
25,1.996,1900.30,906407.025
25,1.997,1900.40,905594.7868
25,1.996,1900.30,906407.025
30,1.994,1887.70,896222.089
30,1.995,1887.70,895323.846
30,1.993,1887.70,897121.6846
33,1.991,1869.50,881674.7816
33,1.992,1869.50,880789.7882
33,1.992,1869.50,880789.7882
35,1.990,1849.80,864058.9985
35,1.991,1849.80,863191.2516
35,1.989,1849.80,864928.0545
38,1.988,1803.80,823273.2512
38,1.989,1803.80,822445.633
38,1.987,1803.80,824102.1192
40,1.987,1759.10,783764.0207
40,1.986,1759.20,784642.7105
40,1.985,1759.10,785344.1897
45,1.984,1588.00,640645.3239
45,1.983,1587.90,641210.8596
45,1.984,1588.00,640645.3239
50,1.980,1340.50,458356.3539
50,1.980,1340.40,458287.9706
50,1.979,1340.40,458751.2387
55,1.974,1066.20,291731.3218
55,1.976,1066.20,291141.0714
55,1.977,1066.20,290846.6177
60,1.973,818.94,172286.0039
60,1.972,818.93,172456.5687
60,1.971,818.93,172631.607
65,1.968,620.68,99468.44182
65,1.969,620.69,99370.63491
65,1.968,620.70,99474.85221
70,1.965,471.04,57463.28732
70,1.964,471.04,57521.81881
70,1.965,471.03,57460.8475
80,1.968,279.29,20140.05183
80,1.967,279.29,20160.53497
80,1.967,279.28,20159.0913
90,1.960,173.71,7854.8428
90,1.960,173.71,7854.8428
90,1.959,173.70,7861.958824
