f (khz),Vi (mV) (pre),Vo (mV) (post),gain^2
0.5,1.284,94.61,5429.302474
0.5,1.283,95.24,5510.42963
0.5,1.283,94.94,5475.769293
0.6,1.283,143.07,12434.94422
0.6,1.282,143.55,12538.05999
0.6,1.281,143.35,12522.67574
0.75,1.283,312.43,59299.65202
0.75,1.282,312.44,59396.00128
0.75,1.284,312.75,59328.6668
0.8,1.283,395.89,95212.89074
0.8,1.284,395.29,94776.70545
0.8,1.282,394.98,94923.59126
0.85,1.283,487.25,144228.2662
0.85,1.282,487.60,144660.9602
0.85,1.282,486.22,143843.2833
0.92,1.284,624.05,236215.6827
0.92,1.282,623.86,236809.015
0.92,1.283,624.19,236690.213
1,1.284,774.12,363485.0293
1,1.283,774.40,364315.2709
1,1.283,775.37,365228.5125
1.2,1.283,1033.72,649161.1562
1.2,1.282,1033.37,649734.0817
1.2,1.284,1034.15,648689.7342
1.5,1.283,1162.13,820457.5432
1.5,1.284,1163.00,820407.0467
1.5,1.283,1162.44,820895.3183
2,1.283,1204.10,880788.8334
2,1.283,1204.80,881813.2191
2,1.283,1204.20,880935.1378
3.2,1.283,1216.40,898875.4314
3.2,1.283,1216.60,899171.0412
3.2,1.282,1216.10,899834.2647
5,1.283,1218.10,901389.6636
5,1.284,1218.20,900133.9515
5,1.283,1218.10,901389.6636
7,1.283,1217.10,899910.2782
7,1.282,1216.80,900870.471
7,1.281,1217.30,903019.2003
10,1.282,1210.10,890976.9556
10,1.284,1211.20,889819.0041
10,1.282,1211.70,893334.6212
13,1.281,1202.10,880608.6251
13,1.282,1203.60,881430.9739
13,1.281,1203.40,882514.3072
17,1.281,1188.00,860071.6288
17,1.280,1188.00,861416.0156
17,1.281,1186.50,857901.1019
20,1.280,1174.60,842092.9932
20,1.280,1173.00,839800.415
20,1.279,1174.00,842548.8785
25,1.277,1144.60,803388.644
25,1.277,1146.50,806058.0575
25,1.278,1144.70,802272.0421
30,1.278,1108.50,752332.2643
30,1.277,1107.60,752287.9399
30,1.276,1108.40,754556.3625
33,1.277,1077.50,711955.3586
33,1.277,1078.10,712748.4763
33,1.275,1077.60,714323.2664
35,1.276,1053.30,681401.0832
35,1.275,1052.30,681175.1111
35,1.277,1051.90,678526.9717
38,1.274,1006.20,623777.5927
38,1.274,1006.30,623901.5856
38,1.273,1006.00,624509.6509
40,1.273,969.31,579787.1412
40,1.272,968.45,579669.1454
40,1.273,969.05,579476.1479
45,1.271,844.94,441937.2813
45,1.272,844.14,440407.5316
45,1.270,844.05,441701.533
50,1.268,688.49,294819.8808
50,1.269,687.96,293902.3993
50,1.268,688.09,294477.4105
55,1.267,528.45,173962.0732
55,1.266,528.89,174527.2718
55,1.265,528.98,174862.8102
60,1.261,393.02,97140.23046
60,1.262,393.35,97149.28289
60,1.261,393.20,97229.22973
65,1.263,291.09,53118.753
65,1.263,291.95,53433.08609
65,1.262,290.99,53166.42018
70,1.255,218.53,30320.38279
70,1.254,218.65,30402.1215
70,1.256,218.85,30360.8428
80,1.249,136.07,11868.61092
80,1.248,136.85,12024.31743
80,1.247,135.76,11852.5215
90,1.240,100.38,6553.555339
90,1.239,101.78,6747.979372
90,1.240,100.27,6538.809118
