f,Vi (mV) (pre),Vo (mV) (post),gain^2
0.5,1.998,117.82,3477.339301
0.5,1.998,117.81,3476.749046
0.5,1.999,117.82,3473.861093
0.6,1.998,241.29,14584.37018
0.6,1.997,241.30,14600.19022
0.6,1.998,241.29,14584.37018
0.75,1.998,562.65,79302.28088
0.75,1.997,562.65,79381.72218
0.75,1.998,562.67,79307.91875
0.8,1.998,706.89,125173.59
0.8,1.998,706.94,125191.2983
0.8,1.997,706.99,125334.4363
0.85,1.997,864.10,187228.4666
0.85,1.996,864.17,187446.4834
0.85,1.997,864.23,187284.8063
0.92,1.997,1092.16,299099.9934
0.92,1.996,1092.23,299438.1481
0.92,1.995,1092.18,299710.9698
1,2.003,1336.90,445487.9363
1,2.004,1336.80,444976.8726
1,2.002,1336.80,445866.3814
1.2,2.002,1733.10,749409.3344
1.2,2.003,1733.10,748661.2343
1.2,2.002,1732.90,749236.3805
1.5,2.002,1899.50,900223.7148
1.5,2.001,1899.60,901218.5961
1.5,2.001,1899.50,901123.7135
2,2.000,1924.30,925732.6225
2,2.001,1924.30,924807.5837
2,2.001,1924.20,924711.4674
3.2,2.001,1912.50,913500.3338
3.2,2.000,1912.50,914414.0625
3.2,2.000,1912.50,914414.0625
5,2.000,1905.30,907542.0225
5,2.001,1905.30,906635.1607
5,2.001,1905.30,906635.1607
10,1.999,1902.10,905401.2774
10,2.000,1902.10,904496.1025
10,2.000,1902.10,904496.1025
20,1.997,1901.90,907024.9365
20,1.998,1901.90,906117.2308
20,1.997,1902.00,907120.3199
25,1.996,1898.50,904690.7066
25,1.995,1898.50,905597.892
25,1.996,1898.50,904690.7066
30,1.994,1885.80,894418.8735
30,1.995,1885.90,893617.2034
30,1.993,1885.90,895411.615
33,1.992,1867.70,879094.5131
33,1.991,1867.70,879977.8032
33,1.992,1867.70,879094.5131
35,1.990,1848.00,862378.2228
35,1.991,1848.00,861512.1639
35,1.991,1848.00,861512.1639
38,1.990,1802.00,819980.3035
38,1.989,1802.10,820896.1278
38,1.990,1802.10,820071.3139
40,1.987,1757.10,781982.8407
40,1.992,1757.10,778062.1507
40,1.993,1757.10,777281.5517
45,1.989,1586.00,635823.8284
45,1.988,1586.00,636463.6511
45,1.990,1586.00,635184.9701
50,1.986,1338.70,454368.3149
50,1.987,1338.70,453911.0889
50,1.987,1338.70,453911.0889
55,1.983,1064.60,288222.2441
55,1.984,1064.70,287985.8652
55,1.984,1064.70,287985.8652
60,1.980,818.04,170694.1745
60,1.981,818.04,170521.8866
60,1.981,818.04,170521.8866
65,1.978,619.99,98246.43375
65,1.976,620.00,98448.58955
65,1.977,619.99,98345.8483
70,1.974,470.51,56812.43709
70,1.975,470.50,56752.50761
70,1.973,470.51,56870.04158
80,1.966,278.96,20133.38701
80,1.967,278.96,20112.92105
80,1.968,278.96,20092.48628
90,1.959,173.49,7842.960397
90,1.961,173.49,7826.970676
90,1.958,173.49,7850.973638
