R,V_S (mV),V_R (mV),V^2,V^2/R
999.0,1.043,6.030,35.273051,0.03530835936
999.0,1.036,6.104,36.18552,0.03622174174
999.0,1.046,6.113,36.274653,0.03631096396
999.0,1.045,6.127,36.448104,0.03648458859
998.0,1.038,6.177,37.077885,0.03715218938
50.9,1.048,5.347,27.492105,0.5401199411
50.9,1.045,5.314,27.146571,0.5333314538
50.9,1.051,5.286,26.837195,0.5272533399
50.9,1.049,5.351,27.5328,0.5409194499
50.9,1.053,5.321,27.204232,0.5344642829
815.0,1.042,6.217,37.565325,0.04609242331
815.0,1.05,6.195,37.275525,0.04573684049
816.0,1.046,6.244,37.89342,0.04643801471
816.0,1.042,6.204,37.403852,0.04583805392
815.0,1.051,6.262,38.108043,0.04675833497
149.1,1.036,6.404,39.93792,0.2678599598
149.1,1.039,6.319,38.85024,0.2605649899
149.1,1.038,6.313,38.776525,0.2600705902
149.1,1.034,6.355,39.316869,0.2636946278
149.1,1.035,6.360,39.378375,0.2641071429
477.0,1.044,6.520,41.420464,0.0868353543
477.0,1.05,6.533,41.577589,0.08716475681
477.0,1.042,6.472,40.80102,0.08553672956
477.0,1.046,6.500,41.155884,0.08628067925
477.0,1.041,6.565,42.015544,0.08808290147
334.0,1.041,6.578,42.186403,0.1263065958
334.0,1.043,6.570,42.077051,0.1259791946
334.0,1.038,6.619,42.733717,0.1279452605
334.0,1.037,6.606,42.563867,0.1274367275
334.0,1.035,6.537,41.661144,0.1247339641
499.0,1.043,6.523,41.46168,0.08308953908
499.0,1.044,6.585,42.272289,0.08471400601
499.0,1.039,6.517,41.391768,0.08294943487
499.0,1.035,6.522,41.465259,0.08309671142
499.0,1.046,6.476,40.84446,0.08185262525
