R,V_S (mV),V_R (mV),V^2,V^2/R,R error,
334.0,1.236,1.666,1.24786,0.003736107784,,
334.0,1.241,1.646,1.169235,0.003500703593,,
334.0,1.237,1.659,1.222112,0.003659017964,,
334.0,1.228,1.674,1.294292,0.003875125749,,
334.0,1.235,1.646,1.184091,0.003545182635,,
334.0,1.248,6.600,42.002496,0.125755976,,
334.0,1.241,6.528,41.074703,0.1229781527,,
334.0,1.250,6.491,40.570581,0.1214688054,,
334.0,1.239,6.584,41.813935,0.1251914222,,
334.0,1.245,6.646,42.619291,0.1276026677,,
2753.0,1.250,4.820,21.6699,0.00787137668,2,
2753.0,1.251,4.907,22.513648,0.008177859789,2,
2753.0,1.239,4.799,21.49528,0.007807947693,2,
2753.0,1.246,4.891,22.369365,0.008125450418,2,
2753.0,1.249,4.786,21.345795,0.007753648747,2,
98.5,1.254,6.125,35.943109,0.3649046599,0.05,
98.5,1.259,6.113,35.783688,0.3632861726,0.05,
98.5,1.257,6.100,35.629951,0.3617253909,0.05,
98.5,1.249,6.145,36.201024,0.3675230863,0.05,
98.5,1.247,6.072,35.314175,0.3585195431,0.05,
815.0,1.274,8.981,79.035285,0.09697580982,0.05,left ohmmeter attached
815.0,1.271,8.892,77.452223,0.09503340245,0.05,left ohmmeter attached
815.0,1.266,9.070,80.662144,0.09897195583,0.05,left ohmmeter attached
815.0,1.264,8.858,76.866468,0.09431468466,0.05,left ohmmeter attached
815.0,1.260,8.901,77.640201,0.09526405031,0.05,left ohmmeter attached
999.0,1.270,8.815,76.091325,0.07616749249,0.05,left ohmmeter attached
999.0,1.268,8.731,74.622537,0.07469723423,0.05,left ohmmeter attached
999.0,1.265,8.742,74.822339,0.07489723624,0.05,left ohmmeter attached
999.0,1.265,8.875,77.1654,0.07724264264,0.05,left ohmmeter attached
999.0,1.258,8.763,75.207605,0.07528288789,0.05,left ohmmeter attached
999.0,1.269,6.159,36.32292,0.03635927928,0.05,
999.0,1.278,6.182,36.58384,0.03662046046,0.05,
999.0,1.272,6.172,36.4756,0.03651211211,0.05,
999.0,1.269,6.023,34.666168,0.03470086887,0.05,
999.0,1.272,6.108,35.68968,0.03572540541,0.05,
815.0,1.266,6.175,36.527869,0.04481947117,0.05,
815.0,1.270,6.143,36.123549,0.04432337301,0.05,
815.0,1.268,6.201,36.844577,0.04520806994,0.05,
815.0,1.274,6.425,39.657549,0.04865956933,0.05,
815.0,1.261,6.333,38.516768,0.04725983804,0.05,
178.4,1.274,6.468,40.211948,0.225403296,0.05,
178.4,1.268,6.440,39.865776,0.22346287,0.05,
178.4,1.266,6.434,39.7936,0.223058296,0.05,
178.4,1.268,6.500,40.642176,0.2278148879,0.05,
178.4,1.261,6.511,40.803,0.2287163677,0.05,
9.88,1.274,2.963,7.156293,0.7243211538,0.05,
9.88,1.268,2.954,7.118292,0.7204748988,0.05,
9.88,1.263,2.939,7.042552,0.7128089069,0.05,
9.88,1.275,2.941,7.023856,0.7109165992,0.05,
9.88,1.264,2.955,7.134329,0.7220980769,0.05,
46.7,1.264,5.200,25.442304,0.5448030835,,
46.7,1.263,5.221,25.663672,0.5495432976,,
46.7,1.269,5.203,25.460848,0.5452001713,,
46.7,1.273,5.241,25.847552,0.5534807709,,
46.7,1.270,5.205,25.479125,0.5455915418,,
26.9,1.270,4.350,17.3096,0.6434795539,,
26.9,1.273,4.391,17.660352,0.6565186617,,
26.9,1.284,4.369,17.439505,0.6483087361,,
26.9,1.269,4.406,17.802475,0.6618020446,,
26.9,1.277,4.371,17.474912,0.6496249814,,
