T,V_S (mV),V_R (mV),V^2,V^2/R,R error,,R,99.3,kohm,
-195.8,1.066,3.273,9.576173,0.09643678751,,,,,,
-195.8,1.063,3.274,9.589107,0.09656703927,,,,,,
-195.8,1.076,3.256,9.44376,0.09510332326,,,,,9.5271005,
-195.8,1.059,3.278,9.623803,0.09691644512,,,,,0.1063546858,0.02009914639
-195.8,1.071,3.270,9.545859,0.09613151057,,,,,,
-195.8,1.070,3.267,9.528389,0.09595557905,,,,,,
-195.8,1.071,3.265,9.513184,0.0958024572,,,,,,
-195.8,1.061,3.246,9.410795,0.09477134945,,,,,,
-195.8,1.063,3.276,9.602207,0.09669896274,,,,,,
-195.8,1.069,3.251,9.42624,0.09492688822,,,,,,
-195.8,1.062,3.280,9.630556,0.09698445116,,,,,,
-195.8,1.071,3.261,9.48708,0.09553957704,,,,,,
-195.8,1.066,3.275,9.589269,0.09656867069,,,,,,
-195.8,1.078,3.244,9.361452,0.09427444109,,,,,,
-195.8,1.066,3.270,9.556544,0.0962391138,,,,,,
-195.8,1.074,3.295,9.703549,0.09771952669,,,,,,
-195.8,1.072,3.274,9.569892,0.09637353474,,,,,,
-195.8,1.066,3.248,9.413148,0.09479504532,,,,,,
-195.8,1.069,3.293,9.701088,0.0976947432,,,,,,
-195.8,1.071,3.280,9.611359,0.0967911279,,,,,,
-195.8,1.068,3.251,9.428377,0.09494840886,,,,,,
-195.8,1.070,3.261,9.489221,0.09556113797,,,,,,
-195.8,1.073,3.234,9.307427,0.09373038268,,,,,,
-195.8,1.063,3.245,9.400056,0.09466320242,,,,,,
-195.8,1.061,3.250,9.436779,0.09503302115,,,,,,
-195.8,1.060,3.290,9.7005,0.09768882175,,,,,,
-195.8,1.071,3.261,9.48708,0.09553957704,,,,,,
-195.8,1.058,3.278,9.62592,0.09693776435,,,,,,
94.0,1.110,6.652,43.017004,0.4332024572,,maybe up to 120 or 130 really unclear what temperature,,,,
94.0,1.117,6.628,42.682695,0.4298358006,,,,,,
94.0,1.115,6.697,43.606584,0.4391398187,,,,,,
94.0,1.114,6.705,43.716029,0.4402419839,,,,,,
94.0,1.108,6.702,43.68914,0.4399711984,,,,,,
133.0,1.114,6.732,44.078828,0.4438955488,,,,,,
133.0,1.111,6.754,44.382195,0.4469506042,,,,,,
133.0,1.106,6.761,44.487885,0.4480149547,,,,,,
133.0,1.117,6.704,43.695927,0.4400395468,,,,,,
133.0,1.106,6.703,43.706973,0.4401507855,,,,,,
117.0,1.114,6.745,44.254029,0.4456599094,,,,,,
117.0,1.122,6.690,43.497216,0.438038429,,,,,,
117.0,1.114,6.689,43.501725,0.4380838369,,,,,,
117.0,1.117,6.766,44.531067,0.4484498187,,,,,,
117.0,1.115,6.757,44.413824,0.4472691239,,,,,,
117.0,1.116,6.740,44.182144,0.4449359919,,,,,,
93.0,1.118,6.722,43.93536,0.4424507553,,,,,,
93.0,1.122,6.663,43.136685,0.4344077039,,,,,,
93.0,1.119,6.751,44.32384,0.4463629406,,,,,,
93.0,1.118,6.716,43.854732,0.4416387915,,,,,,
93.0,1.117,6.694,43.561947,0.4386903021,,,,,,
93.0,1.104,6.734,44.12794,0.4443901309,,,,,,
80.0,1.332,6.602,41.81218,0.421069285,,,,,,
80.0,1.279,6.589,41.77908,0.4207359517,,,,,,
80.0,1.244,6.610,42.144564,0.4244165559,,,,,,
80.0,1.207,6.604,42.155967,0.4245313897,,,,,,
80.0,1.198,6.616,42.336252,0.4263469486,,,,,,
80.0,1.193,6.681,43.212512,0.4351713192,,,,,,
80.0,1.176,6.662,42.999268,0.4330238469,,,,,,
80.0,1.175,6.583,41.955264,0.4225102115,,,,,,
80.0,1.169,6.558,41.640803,0.419343434,,,,,,
80.0,1.165,6.551,41.558376,0.4185133535,,,,,,
80.0,1.162,6.572,41.84094,0.4213589124,,,,,,
70.0,1.128,6.518,41.21194,0.415024572,,,,,,
70.0,1.115,6.489,40.863896,0.4115195972,,,,,,
70.0,1.114,6.520,41.269404,0.4156032628,,,,,,
70.0,1.123,6.572,41.930055,0.4222563444,,,,,,
70.0,1.124,6.514,41.16882,0.4145903323,,,,,,
70.0,1.122,6.505,41.056141,0.4134555992,,,,,,
70.0,1.119,6.484,40.790095,0.4107763847,,,,,,
70.0,1.13,6.475,40.648725,0.409352719,,,,,,
70.0,1.128,6.513,41.146785,0.414368429,,,,,,
70.0,1.122,6.507,41.082165,0.4137176737,,,,,,
60.0,1.124,6.414,39.87602,0.4015711984,,temp decreasing pretty slowly,,,,
60.0,1.131,6.433,40.104328,0.4038703726,,,,,,
60.0,1.133,6.587,42.10488,0.4240169184,,,,,,
60.0,1.128,6.392,39.58528,0.3986433031,,,,,,
60.0,1.126,6.386,39.51312,0.3979166163,,,,,,
60.0,1.133,3.403,10.29672,0.1036930514,,probably typo,,,,
60.0,1.128,6.422,39.9697,0.4025146022,,,,,,
60.0,1.135,6.435,40.121,0.4040382679,,,,,,
60.0,1.128,6.357,39.139065,0.3941496979,,,,,,
60.0,1.123,6.410,39.826971,0.4010772508,,,,,,
50.0,1.125,6.288,38.273319,0.3854312085,,,,,,
50.0,1.124,6.294,38.35106,0.3862140987,,,,,,
50.0,1.127,6.344,38.976207,0.3925096375,,,,,,
50.0,1.13,6.299,38.400501,0.386711994,,,,,,
50.0,1.128,6.306,38.493252,0.3876460423,,,,,,
50.0,1.133,6.305,38.469336,0.3874051964,,,,,,
50.0,1.128,6.442,40.22698,0.4051055388,,,,,,
50.0,1.131,6.331,38.8024,0.3907593152,,,,,,
50.0,1.128,6.291,38.304297,0.3857431722,,,,,,
50.0,1.125,6.345,38.9934,0.3926827795,,,,,,
50.0,1.118,6.288,38.28902,0.3855893253,,,,,,
44.7,1.116,6.255,37.879569,0.3814659517,,,,,,
44.7,1.12,6.240,37.6832,0.3794884189,,,,,,
44.7,1.131,6.242,37.683403,0.3794904632,,,,,,
44.7,1.116,6.270,38.067444,0.3833579456,,,,,,
44.7,1.131,6.310,38.536939,0.3880859919,,,,,,
44.7,1.127,6.307,38.50812,0.3877957704,,,,,,
44.7,1.128,6.254,37.840132,0.3810688016,,,,,,
44.7,1.126,6.242,37.694688,0.3796041088,,,,,,
44.7,1.124,6.191,37.065105,0.3732638973,,,,,,
44.7,1.128,6.183,36.957105,0.372176284,,,,,,
44.7,1.13,6.237,37.623269,0.3788848842,,,,,,
44.7,1.132,6.305,38.471601,0.387428006,,,,,,
44.7,1.123,6.302,38.454075,0.3872515106,,,,,,
43.0,1.124,6.210,37.300724,0.3756366969,,,,,,
43.0,1.126,6.197,37.134933,0.3739670997,,,,,,
43.0,1.119,6.211,37.32436,0.3758747231,,,,,,
43.0,1.12,6.245,37.745625,0.3801170695,,,,,,
43.0,1.12,6.189,37.049321,0.3731049446,,,,,,
43.0,1.122,6.170,36.810016,0.3706950252,,,,,,
43.0,1.124,6.188,37.027968,0.3728899094,,,,,,
43.0,1.123,6.228,37.526855,0.3779139476,,,,,,
43.0,1.123,6.177,36.8942,0.3715427996,,,,,,
43.0,1.13,6.164,36.717996,0.3697683384,,,,,,
43.0,1.113,6.213,37.3626,0.3762598187,,,,,,
58.0,1.122,14.371,205.266757,2.067137533,pm 3,left probe in,,,,
58.0,1.113,14.535,210.027456,2.115080121,pm 3,left probe in,,,,
58.0,1.110,14.782,217.275424,2.188070735,pm 3,left probe in,,,,
58.0,1.116,14.061,196.466265,1.978512236,pm 3,left probe in,,,,
58.0,1.126,14.259,202.051205,2.034755337,pm 3,left probe in,,,,
72.0,1.123,18.562,343.286715,3.457066616,,left probe in,,,,
74.0,1.125,20.321,411.677416,4.145794723,,left probe in,,,,
75.0,1.114,21.845,475.963029,4.793182568,,left probe in,,,,
84.0,1.116,14.055,196.297569,1.976813384,,,,,,
84.0,1.120,13.558,182.564964,1.838519275,,,,,,
84.0,1.119,13.153,171.749248,1.729599678,,,,,,
84.0,1.118,13.917,192.432965,1.937894914,,,,,,
84.0,1.120,14.009,194.997681,1.96372287,,,,,,
