excluded_bulb_setting,excluded_vd_mv_mean,e_C,e_total_err_C,chi2_red,p_value
1,3.157,1.8347820181299824e-19,4.125063909108916e-21,1.1009479024420579,0.33024050853184955
2,3.2762000000000002,1.8353614452662012e-19,4.126271485138037e-21,1.1743676252809265,0.2491805404207755
3,5.662000000000001,1.8354517370158542e-19,4.126539792340549e-21,1.1788077984330376,0.24474025209109895
4,17.6382,1.8353235945515826e-19,4.1262302498267616e-21,1.1728488335416571,0.2507117021120521
5,40.9092,1.8365881486989304e-19,4.12899311917479e-21,0.9697947560409922,0.5052632452167338
6,61.898399999999995,1.8351779062998036e-19,4.1258223715566016e-21,1.152485564156038,0.27184533337976824
7,80.46880000000002,1.8355412737089816e-19,4.1265682521901294e-21,1.179768075731173,0.2437870206328493
8,103.1896,1.8355956438940827e-19,4.126659303670499e-21,1.1783727332254224,0.24517295312205878
9,129.73399999999998,1.8357133293837817e-19,4.126936934958294e-21,1.169179604433956,0.2544367187831413
10,146.272,1.8361412943572704e-19,4.127810611452562e-21,0.9190155318529807,0.5790005970541969
11,172.23200000000003,1.8354995572401389e-19,4.126392164335422e-21,1.17906820444631,0.2444815081519848
12,191.9,1.8356331107560687e-19,4.126656216274452e-21,1.1692125351744218,0.2544031245382671
13,214.698,1.8359907636750582e-19,4.1274992200915685e-21,1.0700575063834845,0.36841529220295594
14,237.224,1.835564897997045e-19,4.126500847582214e-21,1.1786537117268379,0.24489344243089783
15,272.594,1.8354498260859789e-19,4.126224622608628e-21,1.1640951194019633,0.25965897557663487
16,303.754,1.8352924546980283e-19,4.125872176779796e-21,1.0355026494928352,0.41361814355164445
17,404.58599999999996,1.8354885076910894e-19,4.126289774894755e-21,1.0499465360110232,0.3944254864411371
18,519.03,1.8355790262496566e-19,4.12649894960603e-21,1.1679862074130605,0.255656149329338
19,660.662,1.8355547712780744e-19,4.126466040704003e-21,1.1790537480901573,0.24449586738893975
20,991.488,1.8353578592418475e-19,4.126244936033794e-21,1.1737147073599632,0.24983800632593023
21,1274.0,1.8363522993592958e-19,4.1287782055428606e-21,1.1224833703758086,0.3050030999150548
22,1646.9333333333334,1.8359557629619797e-19,4.128635388226171e-21,1.1731775253896082,0.25037980061338877
23,2115.7,1.8345924564462581e-19,4.125253195426572e-21,1.13498434729856,0.2908987936174812
24,2682.7,1.8335689733514068e-19,4.124437520808083e-21,1.1024599367959025,0.32843058601225833
25,3458.5199999999995,1.8350294700823555e-19,4.129210916520492e-21,1.1766626327936243,0.2468787629895534
26,4435.5,1.8351104904309524e-19,4.1281861231125795e-21,1.176617170682325,0.24692421984481597
28,5412.499999999999,1.8369947047363332e-19,4.134413562160615e-21,1.158134274253993,0.26587053561803403
27,7063.460000000001,1.8363461385562126e-19,4.132748948208047e-21,1.1727619553446382,0.2507994778131775
