bulb_setting,vd_mv_mean,vd_mv_sem,vd_mv_std,v0_mv_mean,v0_mv_sem,v0_mv_std,v0_sq_mv2_mean,v0_sq_mv2_sem,v0_sq_mv2_std,n,current_a,current_a_err_stat,current_a_err_rf,current_a_err,scaled_x_v2_per_c,scaled_x_err_v2_per_c,scaled_x_rf_err_v2_per_c,v0_sq_v2,v0_sq_repeat_err_v2,v0_sq_floor_err_v2,v0_sq_v2_err,fit_residual_v2,fit_standardized_residual
1,3.157,0.006442049363362621,0.014404860290888066,104.5,0.15165750888103222,0.3391164991562661,10920.342,31.702367955722348,70.88864979670622,5,6.646315789473684e-09,1.3562209186026572e-11,6.646315789473684e-11,6.783277139662114e-11,115946361566093.3,236595560567.3309,2592639462055.5356,0.010920342,3.1702367955722344e-05,4.18e-05,5.2462178128629116e-05,-7.067901775645313e-05,-1.3472371156032583
2,3.2762000000000002,0.007857480512225271,0.017569860557215575,104.73999999999998,0.20149441679609775,0.45055521304275,10970.630000000001,42.17635913636941,94.30920607236634,5,6.8972631578947375e-09,1.654206423626373e-11,6.897263157894738e-11,7.092858236368385e-11,120324190612237.86,288579751811.53094,2690530695466.059,0.01097063,4.217635913636941e-05,4.189599999999999e-05,5.94484658002207e-05,-2.1194583011301116e-05,-0.3565201273513328
3,5.662000000000001,0.008660254037844513,0.01936491673103737,104.88000000000002,0.1562049935181313,0.34928498393145563,10999.912,32.75544785222751,73.2434080310302,5,1.1920000000000002e-08,1.8232113763883188e-11,1.192e-10,1.205862760528709e-10,207946879691865.84,318063017398.207,4649833586999.825,0.010999912,3.275544785222751e-05,4.195200000000001e-05,5.322489706894694e-05,-7.996022482914533e-06,-0.15023077756892206
4,17.6382,0.010470912090166757,0.023413671220037277,105.2,0.15811388300841808,0.3535533905932718,11067.140000000001,33.324100437971175,74.51495386833406,5,3.7133052631578956e-08,2.2044025452982646e-11,3.7133052631578954e-10,3.719842722913605e-10,647793827866666.8,384562609798.3061,14485110345146.645,0.011067140000000001,3.3324100437971174e-05,4.2080000000000004e-05,5.367701621737176e-05,-2.1503410109679696e-05,-0.40060705738927244
5,40.9092,0.017281203661781857,0.03864194612076252,106.61999999999998,0.16552945357246748,0.3701351104664327,11367.934,35.30057061861732,78.93447554776014,5,8.612463157894737e-08,3.638148139322496e-11,8.612463157894737e-10,8.620144016484338e-10,1502462114215909.0,634682511265.8394,33596074210048.258,0.011367933999999998,3.530057061861732e-05,4.2647999999999996e-05,5.5362281293313664e-05,0.00012241334957515358,2.211127787581069
6,61.898399999999995,0.10008026778541304,0.2237862819745659,106.5,0.17029386365926352,0.38078865529319433,11342.365999999998,36.23035034332417,81.01352621630569,5,1.3031242105263158e-07,2.1069530060086956e-10,1.3031242105263159e-09,1.3200474301157231e-09,2273327293874776.5,3675623349470.681,50833143642096.414,0.011342365999999998,3.6230350343324166e-05,4.26e-05,5.59231462455396e-05,-4.464954847061345e-05,-0.7983509962657735
7,80.46880000000002,0.06674833331252535,0.14925381067162038,107.3,0.2097617696340309,0.4690415759823443,11513.465999999999,44.96774217147234,100.55092829009615,5,1.6940800000000006e-07,1.4052280697373758e-10,1.6940800000000004e-09,1.6998981456780815e-09,2955357801580504.5,2451449600313.0107,66083809421683.44,0.011513465999999998,4.4967742171472335e-05,4.292e-05,6.216288471427312e-05,1.2614564905508857e-06,0.02029222822002555
8,103.1896,0.0983400223713604,0.21989497493121193,108.05999999999999,0.22045407685048554,0.49295030175464843,11677.158,47.583599422489804,106.40016292280694,5,2.1724126315789476e-07,2.0703162604496926e-10,2.1724126315789475e-09,2.1822554241029144e-09,3789819028020444.0,3611709784696.692,84742929690758.94,0.011677157999999998,4.75835994224898e-05,4.322399999999999e-05,6.428462576697457e-05,1.1785290027882186e-05,0.1833200902454781
9,129.73399999999998,0.08465222974027685,0.18928814014618842,108.96,0.16309506430299975,0.3646916505762068,11872.388,35.614084489145476,79.63551387415016,5,2.7312421052631575e-07,1.78215220505846e-10,2.731242105263158e-09,2.7370502557282856e-09,4764708670071443.0,3109001595452.0547,106542124792623.64,0.011872388000000001,3.561408448914547e-05,4.3584e-05,5.628435013394036e-05,2.807101527296102e-05,0.498710076127788
10,146.272,0.08493526947034508,0.18992103622295417,110.22,0.2853068523537412,0.6379655163094612,12148.774000000001,62.94352330462586,140.74599685248563,5,3.0794105263157894e-07,1.788110936217791e-10,3.079410526315789e-09,3.0845976393667135e-09,5372095723470255.0,3119396725917.705,120123712193154.03,0.012148774000000001,6.294352330462587e-05,4.4088e-05,7.684815462976309e-05,0.00019296907748205493,2.510974042707222
11,172.23200000000003,0.1329812016790331,0.2973550066839272,110.1,0.22135943621178616,0.4949747468305824,12122.206,48.767832492330285,109.04818856817352,5,3.625936842105264e-07,2.799604245874381e-10,3.6259368421052636e-09,3.6367287254167676e-09,6325522250633952.0,4883967846490.575,141442977456049.78,0.012122206,4.876783249233028e-05,4.404e-05,6.571014446795857e-05,-8.60357030195609e-06,-0.1309199639147854
