bulb setting,"Vd (mV) (dc, first stage)","V0 (mV) (ac, second stage",V0^2
1,3.168,104.90,11004.01
,3.139,104.30,10878.49
,3.161,104.10,10836.81
,3.145,104.80,10983.04
,3.172,104.40,10899.36
2,3.281,105.10,11046.01
,3.274,105.00,11025
,3.277,104.30,10878.49
,3.299,104.20,10857.64
,3.250,105.10,11046.01
3,5.653,105.30,11088.09
,5.661,104.90,11004.01
,5.679,104.40,10899.36
,5.682,105.10,11046.01
,5.635,104.70,10962.09
4,17.624,105.80,11193.64
,17.624,105.20,11067.04
,17.650,105.10,11046.01
,17.619,105.00,11025
,17.674,104.90,11004.01
5,40.868,106.70,11384.89
,40.921,106.20,11278.44
,40.881,106.80,11406.24
,40.909,107.10,11470.41
,40.967,106.30,11299.69
6,62.220,105.90,11214.81
,61.975,106.90,11427.61
,61.660,106.70,11384.89
,61.715,106.40,11320.96
,61.922,106.60,11363.56
7,80.254,107.10,11470.41
,80.373,107.60,11577.76
,80.560,107.80,11620.84
,80.552,106.60,11363.56
,80.605,107.40,11534.76
8,103.449,107.30,11513.29
,103.345,108.60,11793.96
,103.211,108.30,11728.89
,103.028,108.20,11707.24
,102.915,107.90,11642.41
9,130.050,109.60,12012.16
,129.710,108.80,11837.44
,129.7,108.90,11859.21
,129.54,108.80,11837.44
,129.67,108.70,11815.69
10,146.450,110.10,12122.01
,146.490,109.80,12056.04
,146.220,109.50,11990.25
,146.060,110.60,12232.36
,146.140,111.10,12343.21
11,171.870,110.80,12276.64
,172.230,110.10,12122.01
,172.250,109.80,12056.04
,172.120,110.30,12166.09
,172.690,109.50,11990.25
12,192.480,109.90,12078.01
,192.080,110.60,12232.36
,191.860,111.50,12432.25
,191.760,111.30,12387.69
,191.320,111.30,12387.69
13,214.580,111.40,12409.96
,214.330,111.80,12499.24
,214.770,112.10,12566.41
,214.960,111.90,12521.61
,214.850,111.80,12499.24
14,237.620,112.40,12633.76
,237.190,111.70,12476.89
,237.220,112.80,12723.84
,237.140,112.30,12611.29
,236.950,111.60,12454.56
15,272.670,113.60,12904.96
,272.520,113.10,12791.61
,272.560,113.40,12859.56
,272.740,112.60,12678.76
,272.480,112.10,12566.41
16,304.560,113.50,12882.25
,303.660,114.20,13041.64
,303.680,113.80,12950.44
,303.490,113.00,12769
,303.380,113.30,12836.89
17,404.830,116.80,13642.24
,404.900,117.00,13689
,405.000,116.40,13548.96
,404.330,116.60,13595.56
,403.870,115.60,13363.36
18,519.400,119.70,14328.09
,519.290,120.10,14424.01
,518.940,120.20,14448.04
,518.930,119.90,14376.01
,518.590,120.80,14592.64
19,661.230,123.60,15276.96
,660.790,124.00,15376
,660.260,125.30,15700.09
,660.360,124.20,15425.64
,660.670,123.60,15276.96
20,991.580,133.60,17848.96
,991.340,133.30,17768.89
,990.890,132.40,17529.76
,991.490,132.60,17582.76
,992.140,133.00,17689
21,1272.300,139.30,19404.49
,1274.700,140.10,19628.01
,1273.600,139.70,19516.09
,1274.200,139.60,19488.16
,1275.200,138.90,19293.21
22,1650.100,148.50,22052.25
,1649.000,149.10,22230.81
,1648.300,148.70,22111.69
,1647.600,148.00,21904
,1645.000,148.20,21963.24
,1641.600,148.30,21992.89
23,2117.100,158.30,25058.89
,2116.300,160.20,25664.04
,2115.400,159.30,25376.49
,2114.900,159.60,25472.16
,2114.800,158.80,25217.44
24,2683.600,170.40,29036.16
,2683.200,171.10,29275.21
,2682.500,170.30,29002.09
,2682.300,171.60,29446.56
,2681.900,170.90,29206.81
25,3461.700,185.30,34336.09
,3460.200,184.60,34077.16
,3458.200,185.40,34373.16
,3457.000,186.00,34596
,3455.500,184.90,34188.01
26,4440.000,201.50,40602.25
,4439.100,203.50,41412.25
,4435.000,201.70,40682.89
,4432.400,202.90,41168.41
,4431.000,201.80,40723.24
27,7084.000,242.20,58660.84
,7077.200,243.30,59194.89
,7064.000,241.10,58129.21
,7059.300,241.80,58467.24
,7032.800,240.90,58032.81
28,5411.500,217.70,47393.29
,5411.800,216.60,46915.56
,5412.000,218.10,47567.61
,5412.900,217.00,47089
,5414.300,218.50,47742.25
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
